FOLIO Testing - Started at 20251203_153631
======================================================================

Story 1/5: 380
Story 7/72: 184
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:45:36

Story 8/72: 232
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-03 15:45:36

Story 9/72: 452
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:45:36

Story 10/72: 340
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:45:36

Story 11/72: 96
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-03 15:45:36

Story 12/72: 219
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-03 15:45:36

Story 13/72: 350
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-03 15:45:36

Story 14/72: 385
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:45:36

Story 15/72: 256
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:45:36

Story 16/72: 159
  Accuracy: 1/2 (50.00%)
  Timestamp: 2025-12-03 15:46:35

Story 17/72: 343
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:46:35

Story 18/72: 213
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:46:35

Story 19/72: 79
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:46:35

Story 20/72: 2
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:46:35

Story 21/72: 192
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:46:35

Story 22/72: 442
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:46:35

Story 23/72: 234
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:46:35

Story 24/72: 120
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:46:35

Story 25/72: 322
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-03 15:46:35

Story 26/72: 83
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:48:03

Story 27/72: 368
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:48:03

Story 28/72: 319
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-03 15:48:03

Story 29/72: 306
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-03 15:48:03

Story 30/72: 245
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:48:03

Story 31/72: 58
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:48:03

Story 32/72: 191
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:48:03

Story 33/72: 166
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-03 15:48:03

Story 34/72: 352
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:48:03

Story 35/72: 472
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:48:03

Story 26/72: 83
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:48:16

Story 27/72: 368
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:48:16

Story 28/72: 319
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-03 15:48:16

Story 29/72: 306
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-03 15:48:16

Story 30/72: 245
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:48:16

Story 31/72: 58
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:48:16

Story 32/72: 191
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:48:16

Story 33/72: 166
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-03 15:48:16

Story 34/72: 352
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:48:16

Story 35/72: 472
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:48:16

Story 36/72: 379
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:49:17

Story 37/72: 197
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:49:17

Story 38/72: 361
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:49:17

Story 39/72: 262
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:49:17

Story 40/72: 124
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-03 15:49:17

Story 41/72: 183
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:49:17

Story 42/72: 151
  Accuracy: 0/3 (0.00%)
  Timestamp: 2025-12-03 15:49:17

Story 43/72: 295
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:49:17

Story 44/72: 315
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:49:17

Story 45/72: 467
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:49:17

Story 36/72: 379
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:50:06

Story 37/72: 197
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:50:06

Story 38/72: 361
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:50:06

Story 39/72: 262
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:50:06

Story 40/72: 124
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-03 15:50:06

Story 41/72: 183
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:50:06

Story 42/72: 151
  Accuracy: 0/3 (0.00%)
  Timestamp: 2025-12-03 15:50:06

Story 43/72: 295
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:50:06

Story 44/72: 315
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:50:06

Story 45/72: 467
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:50:06

Story 46/72: 330
  Accuracy: 4/4 (100.00%)
  Timestamp: 2025-12-03 15:50:14

Story 47/72: 26
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:50:14

Story 48/72: 203
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:50:14

Story 49/72: 131
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:50:14

Story 50/72: 460
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:50:14

Story 51/72: 46
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:50:14

Story 52/72: 483
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-03 15:50:14

Story 53/72: 80
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:50:14

Story 54/72: 363
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:50:14

Story 55/72: 258
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:50:14

Story 46/72: 330
  Accuracy: 1/4 (25.00%)
  Timestamp: 2025-12-03 15:51:17

Story 47/72: 26
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:51:17

Story 48/72: 203
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:51:17

Story 49/72: 131
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:51:17

Story 50/72: 460
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:51:17

Story 51/72: 46
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:51:17

Story 52/72: 483
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-03 15:51:17

Story 53/72: 80
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:51:17

Story 54/72: 363
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:51:17

Story 55/72: 258
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:51:17

Story 56/72: 435
  Accuracy: 3/4 (75.00%)
  Timestamp: 2025-12-03 15:51:24

Story 57/72: 217
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:51:24

Story 58/72: 292
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:51:24

Story 59/72: 318
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:51:24

Story 60/72: 107
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:51:24

Story 61/72: 386
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:51:24

Story 62/72: 355
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:51:24

Story 63/72: 51
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:51:24

Story 64/72: 259
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:51:24

Story 65/72: 152
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:51:24

Story 56/72: 435
  Accuracy: 3/4 (75.00%)
  Timestamp: 2025-12-03 15:52:35

Story 57/72: 217
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:52:35

Story 58/72: 292
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:52:35

Story 59/72: 318
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:52:35

Story 60/72: 107
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:52:35

Story 61/72: 386
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:52:35

Story 62/72: 355
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:52:35

Story 63/72: 51
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:52:35

Story 64/72: 259
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:52:35

Story 65/72: 152
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:52:35

Story 66/72: 441
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:52:41

Story 67/72: 64
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:52:41

Story 68/72: 456
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-03 15:52:41

Story 69/72: 280
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:52:41

Story 70/72: 140
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:52:41

Story 71/72: 459
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:52:41

Story 72/72: 101
  Accuracy: 4/5 (80.00%)
  Timestamp: 2025-12-03 15:52:41

======================================================================
FINAL RESULTS
======================================================================
Overall accuracy: 159/187 (85.03%)
Completed at: 2025-12-03 15:52:41
Story 66/72: 441
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:53:43

Story 67/72: 64
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-03 15:53:43

Story 68/72: 456
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-03 15:53:43

Story 69/72: 280
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-03 15:53:43

Story 70/72: 140
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-03 15:53:43

Story 71/72: 459
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-03 15:53:43

Story 72/72: 101
  Accuracy: 4/5 (80.00%)
  Timestamp: 2025-12-03 15:53:43

======================================================================
FINAL RESULTS
======================================================================
Overall accuracy: 156/187 (83.42%)
Completed at: 2025-12-03 15:53:43
