Logic_Type,Depth,Ground_Truth,Prediction,Pattern,Context,Question,Problematic_Lines,Root_Cause_Category,Error_Description,Specific_Axiom
nm,d1_Data,Yes,No,Yes → No,"Julia, Emma, and Lucas are graduate students in the biology department and have published research papers. Generally, students who have published are considered for scholarships. At least one of Julia",Can we conclude Lucas has been considered for a scholarship and exactly one of Julia or Emma has not,line 11-13,AXIOMATIZES_CONTRADICTION,"The axioms for Cons directly contradict the premises by stating that Lucas is not considered for a scholarship, which is inconsistent with the conclusion that he is considered.",def Cons : Student → Prop | Julia => False | Emma => True | Lucas => False
nm,d1_Data,Yes,No,Yes → No,"Astronomer Alice asserts that the planet Zorotar orbits its star every 20 years. Cosmologist Bob asserts that the planet Zorotar does not orbit its star every 20 years. Normally, when scientists asser","Can we conclude that if Cosmologist Bob's evidence is more reliable than Astronomer Alice's, then th",13-14,AXIOMATIZES_CONTRADICTION,"The axioms assume both that Bob's evidence is more reliable and that P is true, which contradicts the premise that more reliable evidence should lead to the correct conclusion.",axiom pTrue : P
nm,d1_Data,Yes,No,Yes → No,John and Maria are students in math class. Typically students in math class take tests. John sometimes skips tests even when assigned.,Can we conclude Maria takes tests?,line 10,INCORRECT_FORMALIZATION,"The axiom 'not_universal' incorrectly formalizes the premise by suggesting that the statement 'students in math class take tests' is not universally true, which contradicts the ground truth.","axiom not_universal : ¬ (∀ x : Person, M x → T x)"
nm,d1_Data,Yes,No,Yes → No,"The Blue Galaxy, Red Nebula, and Green Comet are celestial objects discovered last year and exhibit unusual electromagnetic signals. Typically, celestial objects with such signals are studied further ",Can we conclude Green Comet is being studied further and exactly one of Blue Galaxy or Red Nebula is,lines 12-13,INCORRECT_FORMALIZATION,"The formalization of the conclusion incorrectly assumes that both Blue Galaxy and Red Nebula cannot be studied, which contradicts the premise that at least one is not being studied.",¬ (S Obj.G ∧ ExactlyOneNotStudied S)
nm,d1_Data,Yes,No,Yes → No,"John and Mary are students in the same class. Typically, students in that class submit assignments online. However, John prefers to submit assignments on paper.",Can we conclude that Mary submits assignments online?,N/A,REASONING_FAILURE,The Lean code correctly formalizes the premises but fails to derive the conclusion that Mary submits assignments online.,N/A
nm,d1_Data,Yes,No,Yes → No,"In software development, programmers who are skilled in algorithm design usually can solve complex problems. They also often contribute to open source projects. Dev1 cannot solve complex problems, whi",Can we conclude that Dev2 can solve complex problems and Dev1 contributes to open source?,5-7,AXIOMATIZES_CONTRADICTION,"The axioms S', C', and O' are defined to always be False, which contradicts the premises that some programmers can solve complex problems and contribute to open source.",def S' : Programmer' → Prop := fun _ => False
nm,d2_Data,Yes,No,Yes → No,The coach said the player scored 30 points in the game. The referee said the player did not score 30 points. Officials are normally correct. The coach has better information than the referee. If the p,Can we conclude the player had an exceptional game?,line 36,INCORRECT_FORMALIZATION,"The axiom dfbS_implies_likelyE incorrectly formalizes the relationship between scoring 30 points and having an exceptional game, as it only establishes a likely connection rather than a definitive one.",axiom dfbS_implies_likelyE : Dfb S → Likely E
nm,d3_Data,Yes,No,Yes → No,"Two cars C1 and C2 are equipped with automatic parallel parking feature. Normally, cars with automatic parallel parking also have cruise control. If car C1 has cruise control, then driver D1 can relax","Can we conclude if passenger P1 does not fall asleep, then car C2 has cruise control?",lines 15-18,INCORRECT_FORMALIZATION,"The formalization incorrectly states that neither car has cruise control, contradicting the premise that cars with automatic parallel parking usually have cruise control.",def CC : Car → Prop | C1 => False | C2 => False
nm,d3_Data,Yes,No,Yes → No,"Two cars have turbo engines. Cars with turbo engines usually have high performance. If car 1 has high performance, then John enjoys thrilling drives. If John enjoys thrilling drives, then Sarah gets e","Can we conclude if Sarah does not get excited, then the other car has high performance?",lines 33-36,REASONING_FAILURE,The Lean code correctly formalizes the premises but fails to derive the correct conclusion due to incorrect reasoning about the implications of ¬SE.,N/A
nm,d3_Data,Yes,No,Yes → No,"Trees and flowers are plants. Normally, plants with leaves undergo photosynthesis. If a plant receives sunlight, then it grows. If trees undergo photosynthesis, then forests are essential. Either plan","If a plant does not grow, can we conclude that flowers undergo photosynthesis?","line 12, line 14, line 15",INCORRECT_FORMALIZATION,"The predicates for Sun, Grow, and Photo are incorrectly formalized as always False, which contradicts the premises that plants grow with sunlight and normally undergo photosynthesis.",def Sun : Obj → Prop := fun _ => False
nm,d3_Data,No,Yes,No → Yes,"Athletes and coaches are part of a team. Typically, team members show teamwork. If a player is selfless, then the team succeeds. If athletes show teamwork, then coaches provide guidance. Either player","If a team does not succeed, can we conclude that athletes do not show teamwork?",N/A,INCORRECT_FORMALIZATION,"The formalization incorrectly assumes that the premises logically lead to the conclusion, but the premises do not support the conclusion that ¬T implies ¬A.",N/A
nm,d4_Data,Yes,No,Yes → No,"Red and Blue cars have sunroofs. Typically, cars with sunroofs have leather seats. If a vehicle is a convertible, it has a top that can be retracted. If a motorcycle has a sidecar, it can carry an add",Can we conclude if a vehicle does not have a retractable top then a blue car has leather seats?,line 12,AXIOMATIZES_CONTRADICTION,"The axiom for L (leather seats) incorrectly states that blue cars do not have leather seats, contradicting the conclusion that a blue car has leather seats.",def L : Vehicle → Prop | blue => False | _ => False
nm,d4_Data,No,Yes,No → Yes,"Assume X and Y are ingredients known to enhance flavor in dishes. Normally, ingredients that enhance flavor also add aroma. If ingredient Z is spicy, then ingredient Z adds heat to the dish. If ingred","Can we conclude if ingredient Z adds heat to the dish, then ingredient Y does not add aroma?",line 20,REASONING_FAILURE,"The proof incorrectly resolves the disjunction to conclude ¬AddsHeat Z, which is not justified by the premises.",N/A
nm,d4_Data,Yes,No,Yes → No,"Diamonds and Rubies are precious stones. Normally, precious stones are valuable. If a Diamond sparkles, then the Diamond is cut well. If a Ruby is deep red, then the Ruby is considered high-quality. E","Can we conclude if a Ruby is not high-quality, then a Diamond is valuable?",lines 64-66,AXIOMATIZES_CONTRADICTION,"The countermodel directly contradicts the premises by asserting ValuableD is false, which is inconsistent with the premises that imply a Diamond is valuable if a Ruby is not high-quality.",theorem not_valuable : ¬ ValuableD := by intro h; exact h
nm,d4_Data,Yes,No,Yes → No,"Bananas and Apples are fruits with peels. Normally, fruits with peels contain seeds. If a Banana is ripe, then the Banana is sweet. If an Apple is red, then the Apple is ripe. Either a Banana is ripe ","Can we conclude if an Apple is not ripe, then a Banana contains seeds?",line 9-11,AXIOMATIZES_CONTRADICTION,"The Seeds predicate is incorrectly axiomatized to always be False for Bananas, contradicting the premise that fruits with peels normally contain seeds.",def Seeds : Obj → Prop := fun x => match x with | Banana => False | Apple => True
nm,d5_Data,Yes,No,Yes → No,"In a zoo, lions and tigers are carnivores. Normally, carnivores in the zoo are fed raw meat. If an animal has a mane and roars loudly, visitors find it majestic. If a big cat has stripes and hunts at ",Can we conclude if the lion is not majestic then the tiger is fed raw meat?,lines 13-20,INCORRECT_FORMALIZATION,"The Lean code incorrectly formalizes the premises and conclusion, leading to a misunderstanding of the logical relationships between them.",theorem not_valid_entailment
nm,d5_Data,Yes,No,Yes → No,"Coffee and Tea are beverages served in a cafe. Usually, beverages served in a cafe are hot. If Coffee is brewed, then it is aromatic. If Tea is steeped, then it can be sweetened. Either Coffee is brew",Can we conclude if Hot Chocolate is not aromatic then Tea can be sweetened?,lines 19-23,INCORRECT_FORMALIZATION,"The formalization of the Sweetenable predicate for tea is incorrect, as it should be True when tea is steeped, according to the premises.",def Sweetenable : Drink → Prop | tea => False
nm,d5_Data,Yes,No,Yes → No,"Dogs and Cats are animals with fur. Typically, animals with fur also have tails. If a Dog can bark, then it is a mammal. If a Cat can purr, then it is a carnivore. Either a Dog can bark or a Cat is a ",Can we conclude if a Tiger does not purr then a Dog has a tail?,N/A,INCORRECT_FORMALIZATION,"The formalization incorrectly interprets the premises, particularly the relationship between a Tiger being a carnivore and a Cat purring, which affects the logical derivation.",N/A
nm,d5_Data,Yes,No,Yes → No,"Books and Pens are items in a bookstore. Normally, items in a bookstore are available for purchase. If a Book is a bestseller, then it is displayed prominently. If a Pen is a fountain pen, then it has",Can we conclude if a Notebook is not a fountain pen then a Book is a bestseller?,N/A,INCORRECT_FORMALIZATION,"The formalization incorrectly assumes that the premises allow for a countermodel where the conclusion does not hold, but the premises logically entail the conclusion.",N/A
nm,d5_Data,No,Yes,No → Yes,"In a zoo, lions and tigers are carnivores. Normally, carnivores in the zoo are fed raw meat. If an animal has a mane and roars loudly, visitors find it majestic. If a big cat has stripes and hunts at ",Can we conclude if the lion is not majestic then the tiger is not fed raw meat?,N/A,REASONING_FAILURE,"The Lean code correctly formalizes the premises but incorrectly concludes that ¬M_L implies ¬R_T, which is not supported by the premises.",N/A
nm,d5_Data,Yes,No,Yes → No,"In a bakery, cakes and cookies are baked with care. Normally, baked goods prepared with care are delicious. If a dessert has chocolate frosting, and it is rich in flavor, customers enjoy it. If a past",Can we conclude if the chocolate cake is not enjoyed by customers then the cookie is delicious?,N/A,REASONING_FAILURE,"The Lean code correctly formalizes the premises and derives the contrapositive, but the model incorrectly predicts that the conclusion does not follow, despite the correct derivation.",N/A
pl,d1_Data,Yes,No,Yes → No,"For movie night, a family debated watching either a comedy or a drama from their collection, or potentially both depending on how much time they had. After some discussion, the son told his parents: h",Does it entail that he is viewing the drama?,3-4,INCORRECT_FORMALIZATION,"The Lean code incorrectly formalizes the problem by assuming that 'not watching the comedy' universally implies 'watching the drama', without considering the possibility of watching neither.","theorem no_entailment_from_notC : ¬ (∀ (C D : Prop), (¬ C → D)) := by"
pl,d1_Data,Yes,No,Yes → No,"If Jenny gets enough sleep, she is usually energetic and focused throughout the day. Last night, Jenny made sure to get to bed early and got a full 8 hours of rest. Jenny got adequate sleep.",Is Jenny energetic and focused today?,8-10,INCORRECT_FORMALIZATION,"The formalization incorrectly assumes that 'Usually' is always true, which does not capture the intended meaning of 'usually' in the premises.",def Usually : Prop → Prop := fun _ => True
pl,d2_Data,Yes,No,Yes → No,"Jenny wanted to launch a mobile app startup. She decided to enroll in an intensive coding bootcamp so she could learn new programming languages. Jenny knew that with these new coding skills, she would","If Jenny takes a coding bootcamp, will she build a mobile app?",lines 10-11,REASONING_FAILURE,"The code correctly formalizes the premises but fails to establish a link between 'AbleBuildApp' and 'WillBuildApp', which is necessary to derive the conclusion.",N/A
pl,d2_Data,Yes,No,Yes → No,"If I study hard, I'll likely get an A on the test. If my teacher cancels the exam, I'll get to relax instead. It seems either I'll study a lot, the test will be canceled, or maybe both.","If I did not get an A on the exam, did I get to relax instead?",lines 10-11,AXIOMATIZES_CONTRADICTION,"The counterexample assumes ¬A and ¬Relax, which contradicts the premises that if the exam is canceled, Relax must be true.",let Relax := False
pl,d2_Data,No,Yes,No → Yes,"If Dan followed the tutorial carefully, he was able to write the program. If the instructions were clear, any beginner could write the program. However, either Dan wasn't able to write the program or ","If Dan followed the tutorial carefully, were the instructions clear?",axiom h3 : ¬ W ∨ ¬ B,INCORRECT_FORMALIZATION,"The formalization of the premise 'either Dan wasn't able to write the program or any beginner couldn't write it, or maybe both' is incorrect. The axiom h3 should reflect the possibility of both conditions being true, which is not captured by the current disjunction.",axiom h3 : ¬ W ∨ ¬ B
pl,d3_Data,Yes,No,Yes → No,"Chris decided to learn to code by practicing every day. He found that daily coding helped him build programming skills. Chris knew if he built up these skills, he could create complex web apps. Whethe","If Chris does not create web apps, does he solve coding challenges?",line 10,INCORRECT_FORMALIZATION,"The formalization incorrectly assumes that solving challenges alone can lead to creating web apps, which contradicts the premise that skills are needed to create apps.",skills_implies_apps : SkillsGrow → CreatesWebApps
pl,d4_Data,Yes,No,Yes → No,"The ACME Factory knew that if they increased production, they would need to hire more workers. Meanwhile, the parent company was preparing to release a new product. The CEO knew that if they released ",The company released a new product. Will the work be quick for next cycle?,N/A,INCORRECT_FORMALIZATION,"The formalization incorrectly models the probabilistic nature of the stock price increase as a deterministic implication, which does not align with the premises.",R → Likely S
pl,d4_Data,No,Yes,No → Yes,"The team was training intensely this week. They knew that if they are training hard, they will be prepared for the upcoming game. The coach also scheduled extra practices recently. If the coach schedu","If the team will not be prepared for the game, then did the team lose their last game?",axiom h4,INCORRECT_FORMALIZATION,"The axiom h4 incorrectly formalizes the disjunction involving T and H, which does not align with the premises provided.",axiom h4 : T ∨ ¬ H ∨ (T ∧ ¬ H)
pl,d5_Data,Yes,No,Yes → No,"Carol decided to adopt a puppy, hoping for a loving companion in her life. She realized that having a devoted pet would make her feel less lonely. Whether Carol adopted the puppy, or joined a local hi","If Carol does not feel less lonely, then has her social life improved?",lines 22-28,AXIOMATIZES_CONTRADICTION,"The countermodel assumes all propositions are False, which contradicts the premises that imply certain propositions should be True.",theorem countermodel
pl,d5_Data,Yes,No,Yes → No,Dan wanted to get in better shape. He decided to start a new workout routine to become more active. Dan knew being active regularly would help him gain strength and energy. Whether Dan started a worko,"If Dan does not gain strength and energy, then does he achieve his fitness goals?",N/A,INCORRECT_FORMALIZATION,"The formalization incorrectly represents the logical structure of the premises and conclusion, leading to a misinterpretation of the problem.",N/A
