Logic_Type,Depth,Ground_Truth,Prediction,Pattern,Context,Question,Problematic_Lines,Root_Cause_Category,Error_Description,Specific_Axiom
nm,d1_Data,Yes,No,Yes → No,"Astronomer Alice asserts that the planet Zorotar orbits its star every 20 years. Cosmologist Bob asserts that the planet Zorotar does not orbit its star every 20 years. Normally, when scientists asser","Can we conclude that if Cosmologist Bob's evidence is more reliable than Astronomer Alice's, then th",lines 20-21,INCORRECT_FORMALIZATION,"The formalization of the premise 'Normally, when scientists assert something about planetary orbits, they are right' as a defeasible statement does not allow for a classical logic conclusion, which is required to derive the conclusion.","axiom normally_when_scientists_assert_about_orbits_they_are_right : ∀ s φ, AboutOrbitClaim φ → Asserts s φ → NormallyRight s φ"
nm,d1_Data,Yes,No,Yes → No,John and Maria are students in math class. Typically students in math class take tests. John sometimes skips tests even when assigned.,Can we conclude Maria takes tests?,lines 11-12,AXIOMATIZES_CONTRADICTION,"The counterexample scenario axiomatizes that no one takes tests, which contradicts the typical behavior of students taking tests.",TakesTests := fun _ => False
nm,d1_Data,Yes,No,Yes → No,"The Blue Galaxy, Red Nebula, and Green Comet are celestial objects discovered last year and exhibit unusual electromagnetic signals. Typically, celestial objects with such signals are studied further ",Can we conclude Green Comet is being studied further and exactly one of Blue Galaxy or Red Nebula is,N/A,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the conclusion that Green Comet is being studied further and exactly one of Blue Galaxy or Red Nebula is not being studied.",N/A
nm,d1_Data,Yes,No,Yes → No,"John and Mary are students in the same class. Typically, students in that class submit assignments online. However, John prefers to submit assignments on paper.",Can we conclude that Mary submits assignments online?,line 14,AXIOMATIZES_CONTRADICTION,The axiom ¬ SubmitsOnline Person.Mary contradicts the ground truth that Mary submits online.,¬ SubmitsOnline Person.Mary
nm,d1_Data,Yes,No,Yes → No,"In software development, programmers who are skilled in algorithm design usually can solve complex problems. They also often contribute to open source projects. Dev1 cannot solve complex problems, whi",Can we conclude that Dev2 can solve complex problems and Dev1 contributes to open source?,N/A,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the conclusion that Dev2 can solve complex problems and Dev1 contributes to open source.",N/A
nm,d3_Data,No,Yes,No → Yes,"Two chefs specialize in Italian cuisine. Chefs specializing in Italian cuisine commonly use fresh herbs. If chef 1 uses fresh herbs, then Tony appreciates the flavors. If Tony appreciates the flavors,","Can we conclude if Julia does not request the recipe, then the other chef does not use fresh herbs?",N/A,REASONING_FAILURE,"The Lean code correctly formalizes the premises but incorrectly concludes that chef2 does not use fresh herbs based on the negation of Julia's request, which is not logically supported by the premises.",N/A
nm,d3_Data,No,Yes,No → Yes,"Athletes and coaches are part of a team. Typically, team members show teamwork. If a player is selfless, then the team succeeds. If athletes show teamwork, then coaches provide guidance. Either player","If a team does not succeed, can we conclude that athletes do not show teamwork?",N/A,REASONING_FAILURE,The Lean code correctly formalizes the premises but incorrectly concludes that ¬ TeamSucceeds implies ¬ AthletesShowTeamwork due to a reasoning error.,N/A
nm,d4_Data,No,Yes,No → Yes,"Assume X and Y are ingredients known to enhance flavor in dishes. Normally, ingredients that enhance flavor also add aroma. If ingredient Z is spicy, then ingredient Z adds heat to the dish. If ingred","Can we conclude if ingredient Z adds heat to the dish, then ingredient Y does not add aroma?",line 20,AXIOMATIZES_CONTRADICTION,"The axiom 'heat_or_not_aromatic_V' introduces a contradiction by stating that either Z does not add heat or V is not aromatic, which conflicts with the derived aromatic property of V.",axiom heat_or_not_aromatic_V : ¬AddsHeat Z ∨ ¬Aromatic V
nm,d4_Data,No,Yes,No → Yes,"Assume books and pens are items of category Q and they both are used for writing. Usually, items of category Q used for writing are stationery. If a movie is a comedy, then it makes people laugh. If a",Can we conclude if the comedy movie makes people laugh then the pen is not used for writing?,line 36,AXIOMATIZES_CONTRADICTION,"The disjunction axiom contradicts the premises by asserting that either the comedy movie does not make people laugh or the city with good public transport is not convenient, which is inconsistent with the other axioms.",axiom disj : ¬MakesPeopleLaugh M ∨ ¬Convenient C
nm,d5_Data,Yes,No,Yes → No,"Coffee and Tea are beverages served in a cafe. Usually, beverages served in a cafe are hot. If Coffee is brewed, then it is aromatic. If Tea is steeped, then it can be sweetened. Either Coffee is brew",Can we conclude if Hot Chocolate is not aromatic then Tea can be sweetened?,lines 28-29,INCORRECT_FORMALIZATION,"The formalization incorrectly states that Tea cannot be sweetened, contradicting the premise that if Tea is steeped, it can be sweetened.",def Sweetenable : Drink → Prop | Tea => False
nm,d5_Data,Yes,No,Yes → No,"Books and Pens are items in a bookstore. Normally, items in a bookstore are available for purchase. If a Book is a bestseller, then it is displayed prominently. If a Pen is a fountain pen, then it has",Can we conclude if a Notebook is not a fountain pen then a Book is a bestseller?,"line 12, line 13",AXIOMATIZES_CONTRADICTION,"The axioms for Bestseller and Displayed are set to always be False, which contradicts the premises that involve these properties.","def Bestseller : Item → Prop := fun _ => False
def Displayed  : Item → Prop := fun _ => False"
nm,d5_Data,No,Yes,No → Yes,"In a zoo, lions and tigers are carnivores. Normally, carnivores in the zoo are fed raw meat. If an animal has a mane and roars loudly, visitors find it majestic. If a big cat has stripes and hunts at ",Can we conclude if the lion is not majestic then the tiger is not fed raw meat?,line 28,INCORRECT_FORMALIZATION,"The formalization of the premise 'Visitors find either an animal with a mane majestic or a big cat that hunts at night intriguing, or both' is incorrect. It should be a conjunction of two implications, not a disjunction.","axiom premise_either_or_both : (∀ a : Animal, Mane a → Majestic a) ∨ (∀ a : Animal, BigCat a ∧ HuntsAtNight a → Intriguing a)"
pl,d2_Data,Yes,No,Yes → No,"Jenny wanted to launch a mobile app startup. She decided to enroll in an intensive coding bootcamp so she could learn new programming languages. Jenny knew that with these new coding skills, she would","If Jenny takes a coding bootcamp, will she build a mobile app?",N/A,REASONING_FAILURE,"The axioms correctly establish that Jenny gains the ability to build a mobile app, but there is no reasoning or premise that connects having the ability to actually building the app.",N/A
pl,d3_Data,Yes,No,Yes → No,"Chris decided to learn to code by practicing every day. He found that daily coding helped him build programming skills. Chris knew if he built up these skills, he could create complex web apps. Whethe","If Chris does not create web apps, does he solve coding challenges?",N/A,INCORRECT_FORMALIZATION,"The formalization incorrectly assumes that if Chris does not create web apps, he neither codes daily nor solves challenges, which is not supported by the premises.",N/A
pl,d4_Data,No,Yes,No → Yes,"It was Saturday afternoon. Jane knew if it is the weekend, then the cafe she likes is busy. Jane also wanted to go shopping today. If Jane goes shopping, the mall will be crowded. Either it is the wee","If the cafe is not busy, then did Jane finish her work early?",line 9,AXIOMATIZES_CONTRADICTION,"The axiom 'disj' introduces a contradiction by allowing both the weekend and the mall not being crowded, which contradicts the premise that shopping implies the mall is crowded.",axiom disj : Weekend ∨ ¬MallCrowded ∨ (Weekend ∧ ¬MallCrowded)
pl,d4_Data,No,Yes,No → Yes,"The team was training intensely this week. They knew that if they are training hard, they will be prepared for the upcoming game. The coach also scheduled extra practices recently. If the coach schedu","If the team will not be prepared for the game, then did the team lose their last game?",line 8,AXIOMATIZES_CONTRADICTION,"The axiom 'prem_TH_true' directly contradicts the conclusion that the team is not prepared, leading to a contradiction.",axiom prem_TH_true : TrainingHard
