FOLIO Testing - Started at 20251205_220912
======================================================================

Story 1/72: 380
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:23:57

Story 49/72: 131
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:23:57

Story 50/72: 460
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-05 22:23:57

Story 51/72: 46
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:24:39

Story 52/72: 483
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-05 22:24:39

Story 53/72: 80
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:24:39

Story 54/72: 363
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:24:39

Story 55/72: 258
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-05 22:24:39

Story 56/72: 435
  Accuracy: 3/4 (75.00%)
  Timestamp: 2025-12-05 22:26:37

Story 57/72: 217
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:26:37

Story 58/72: 292
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-05 22:26:37

Story 59/72: 318
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:26:37

Story 60/72: 107
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:26:38

Story 61/72: 386
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:27:45

Story 62/72: 355
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:27:45

Story 63/72: 51
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:27:45

Story 64/72: 259
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-05 22:27:45

Story 65/72: 152
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:27:45

Story 66/72: 441
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:28:12

Story 67/72: 64
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:28:12

Story 68/72: 456
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-05 22:28:12

Story 69/72: 280
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-05 22:28:12

Story 70/72: 140
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:28:12

Story 71/72: 459
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:30:00

Story 72/72: 101
  Accuracy: 4/5 (80.00%)
  Timestamp: 2025-12-05 22:30:00

======================================================================
FINAL RESULTS
======================================================================
Overall accuracy: 170/200 (85.00%)
Completed at: 2025-12-05 22:30:00
