FOLIO Testing - Started at 20251205_221312
======================================================================

Story 1/72: 380
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:14:23

Story 25/72: 322
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-05 22:14:23

Story 26/72: 83
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:14:41

Story 27/72: 368
  Accuracy: 0/3 (0.00%)
  Timestamp: 2025-12-05 22:14:41

Story 28/72: 319
  Accuracy: 3/5 (60.00%)
  Timestamp: 2025-12-05 22:14:41

Story 29/72: 306
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-05 22:14:41

Story 30/72: 245
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-05 22:14:41

Story 31/72: 58
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:14:53

Story 32/72: 191
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:14:53

Story 33/72: 166
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:14:53

Story 34/72: 352
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-05 22:14:53

Story 35/72: 472
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-05 22:14:53

Story 36/72: 379
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:15:07

Story 37/72: 197
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:15:07

Story 38/72: 361
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:15:07

Story 39/72: 262
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-05 22:15:07

Story 40/72: 124
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-05 22:15:07

Story 41/72: 183
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:15:18

Story 42/72: 151
  Accuracy: 0/3 (0.00%)
  Timestamp: 2025-12-05 22:15:18

Story 43/72: 295
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-05 22:15:18

Story 44/72: 315
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-05 22:15:18

Story 45/72: 467
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:15:18

Story 46/72: 330
  Accuracy: 1/4 (25.00%)
  Timestamp: 2025-12-05 22:15:35

Story 47/72: 26
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-05 22:15:35

Story 48/72: 203
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-05 22:15:35

Story 49/72: 131
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:15:35

Story 50/72: 460
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-05 22:15:35

Story 51/72: 46
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:15:52

Story 52/72: 483
  Accuracy: 2/5 (40.00%)
  Timestamp: 2025-12-05 22:15:52

Story 53/72: 80
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:15:52

Story 54/72: 363
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:15:52

Story 55/72: 258
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-05 22:15:52

Story 56/72: 435
  Accuracy: 3/4 (75.00%)
  Timestamp: 2025-12-05 22:16:00

Story 57/72: 217
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:16:00

Story 58/72: 292
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-05 22:16:00

Story 59/72: 318
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:16:00

Story 60/72: 107
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:16:00

Story 61/72: 386
  Accuracy: 2/3 (66.67%)
  Timestamp: 2025-12-05 22:16:13

Story 62/72: 355
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-05 22:16:13

Story 63/72: 51
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:16:13

Story 64/72: 259
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-05 22:16:13

Story 65/72: 152
  Accuracy: 1/2 (50.00%)
  Timestamp: 2025-12-05 22:16:13

Story 66/72: 441
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:16:22

Story 67/72: 64
  Accuracy: 3/3 (100.00%)
  Timestamp: 2025-12-05 22:16:22

Story 68/72: 456
  Accuracy: 5/5 (100.00%)
  Timestamp: 2025-12-05 22:16:22

Story 69/72: 280
  Accuracy: 1/1 (100.00%)
  Timestamp: 2025-12-05 22:16:22

Story 70/72: 140
  Accuracy: 2/2 (100.00%)
  Timestamp: 2025-12-05 22:16:22

Story 71/72: 459
  Accuracy: 1/3 (33.33%)
  Timestamp: 2025-12-05 22:16:28

Story 72/72: 101
  Accuracy: 4/5 (80.00%)
  Timestamp: 2025-12-05 22:16:28

======================================================================
FINAL RESULTS
======================================================================
Overall accuracy: 158/200 (79.00%)
Completed at: 2025-12-05 22:16:28
